央视频道,#genre#
CCTV11,http://39.135.140.104:6610/PLTV/88888888/224/3221226283/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225628/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225568/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226254/1/index.m3u8?fmt=ts2hls
CCTV12,http://39.135.140.104:6610/PLTV/88888888/224/3221225495/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225637/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225567/1/index.m3u8?fmt=ts2hls3http://39.135.140.104:6610/PLTV/88888888/224/3221225629/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226267/1/index.m3u8?fmt=ts2hls
CCTV13,http://39.135.140.104:6610/PLTV/88888888/224/3221225638/1/index.m3u8?fmt=ts2hls
CCTV14,http://39.135.140.104:6610/PLTV/88888888/224/3221225640/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225639/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226289/1/index.m3u8?fmt=ts2hls3http://39.135.140.104:6610/PLTV/88888888/224/3221225565/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225494/1/index.m3u8?fmt=ts2hls
CCTV15,http://39.135.140.104:6610/PLTV/88888888/224/3221225641/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226292/1/index.m3u8?fmt=ts2hls
CCTV16,http://39.135.140.104:6610/PLTV/88888888/224/3221226232/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226236/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226230/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226233/1/index.m3u8?fmt=ts2hls
CCTV17,http://39.135.140.104:6610/PLTV/88888888/224/3221225909/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225907/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226270/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225908/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225910/1/index.m3u8?fmt=ts2hls
CCTV5+,http://39.135.140.104:6610/PLTV/88888888/224/3221225649/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CETV1,http://39.135.140.104:6610/PLTV/88888888/224/3221225917/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225563/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225661/1/index.m3u8?fmt=ts2hls
CETV2,http://39.135.140.104:6610/PLTV/88888888/224/3221226242/1/index.m3u8?fmt=ts2hls
CETV4,http://39.135.140.104:6610/PLTV/88888888/224/3221225969/1/index.m3u8?fmt=ts2hls
CETV4,http://39.135.140.104:6610/PLTV/88888888/224/3221225937/1/index.m3u8?fmt=ts2hls

卫视高清频道,#genre#
浙江卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225491/1/index.m3u8?fmt=ts2hls
四川卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225487/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225532/1/index.m3u8?fmt=ts2hls
贵州卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225483/1/index.m3u8?fmt=ts2hls
天津卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225485/1/index.m3u8?fmt=ts2hls
湖南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225490/1/index.m3u8?fmt=ts2hls
东方卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225489/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225561/1/index.m3u8?fmt=ts2hls
江西卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225492/1/index.m3u8?fmt=ts2hls
江苏卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225488/1/index.m3u8?fmt=ts2hls
山东卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225484/1/index.m3u8?fmt=ts2hls
河南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225611/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226196/1/index.m3u8?fmt=ts2hls
重庆卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225612/1/index.m3u8?fmt=ts2hls
河北卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225610/1/index.m3u8?fmt=ts2hls
湖北卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225596/1/index.m3u8?fmt=ts2hls
深圳卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225598/1/index.m3u8?fmt=ts2hls
北京卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225674/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225600/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225673/1/index.m3u8?fmt=ts2hls
云南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225664/1/index.m3u8?fmt=ts2hls
东南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225657/1/index.m3u8?fmt=ts2hls
辽宁卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225601/1/index.m3u8?fmt=ts2hls
内蒙古卫视高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225667/index.m3u8#http://39.135.140.104:6610/PLTV/88888888/224/3221225667/1/index.m3u8?fmt=ts2hls
东方卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225659/1/index.m3u8?fmt=ts2hls
广东卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225597/1/index.m3u8?fmt=ts2hls
黑龙江卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225586/1/index.m3u8?fmt=ts2hls
东南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225585/1/index.m3u8?fmt=ts2hls
吉林卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225680/1/index.m3u8?fmt=ts2hls
江西卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225746/1/index.m3u8?fmt=ts2hls3
山东教育卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225719/1/index.m3u8?fmt=ts2hls
海南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225722/1/index.m3u8?fmt=ts2hls
江苏卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
黑龙江卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225690/1/index.m3u8?fmt=ts2hls
重庆卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225692/1/index.m3u8?fmt=ts2hls
贵州卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225735/1/index.m3u8?fmt=ts2hls
重庆卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225734/1/index.m3u8?fmt=ts2hls
天津卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
山西卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225730/1/index.m3u8?fmt=ts2hls
西藏卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls
天津卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225739/1/index.m3u8?fmt=ts2hls
江苏卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225743/1/index.m3u8?fmt=ts2hls
安徽卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225691/1/index.m3u8?fmt=ts2hls
山东卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225697/1/index.m3u8?fmt=ts2hls
宁夏卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
四川卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls
陕西卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225729/1/index.m3u8?fmt=ts2hls
兵团卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226200/1/index.m3u8?fmt=ts2hls
海南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226212/1/index.m3u8?fmt=ts2hls
广东卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225701/1/index.m3u8?fmt=ts2hls
湖北卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
浙江卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225703/1/index.m3u8?fmt=ts2hls
青海卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225727/1/index.m3u8?fmt=ts2hls
甘肃卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225724/1/index.m3u8?fmt=ts2hls
新疆卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225725/1/index.m3u8?fmt=ts2hls
湖南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225704/1/index.m3u8?fmt=ts2hls
黑龙江卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225736/1/index.m3u8?fmt=ts2hls
浙江卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls
河北卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225732/1/index.m3u8?fmt=ts2hls
广西卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225731/1/index.m3u8?fmt=ts2hls
深圳卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
湖南卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
安徽卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225737/1/index.m3u8?fmt=ts2hls
深圳卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225741/1/index.m3u8?fmt=ts2hls
湖北卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225740/1/index.m3u8?fmt=ts2hls
广东卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225742/1/index.m3u8?fmt=ts2hls
山东卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225738/1/index.m3u8?fmt=ts2hls
辽宁卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225696/1/index.m3u8?fmt=ts2hls
厦门卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226199/1/index.m3u8?fmt=ts2hls
大湾区卫视,http://39.135.140.104:6610/PLTV/88888888/224/3221226203/1/index.m3u8?fmt=ts2hls
四川康巴卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226263/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221226207/1/index.m3u8?fmt=ts2hls
农林卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226204/1/index.m3u8?fmt=ts2hls
广西卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226211/1/index.m3u8?fmt=ts2hls

江西当地频道,#genre#
江西卫视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225705/1/index.m3u8?fmt=ts2hls
江西都市高清,http://39.137.49.76:8080/PLTV/88888888/224/3221225584/10000100000000060000000000000162_0.smil/index.m3u8#http://39.135.140.104:6610/PLTV/88888888/224/3221225584/1/index.m3u8?fmt=ts2hls
江西经济生活高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226206/1/index.m3u8?fmt=ts2hls
江西影视旅游高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226291/1/index.m3u8?fmt=ts2hls
江西公共农业,http://39.135.140.104:6610/PLTV/88888888/224/3221225578/1/index.m3u8?fmt=ts2hls
江西少儿高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226194/1/index.m3u8?fmt=ts2hls
江西新闻高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225615/1/index.m3u8?fmt=ts2hls
江西移动电视高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226285/1/index.m3u8?fmt=ts2hls
江西教育高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226197/1/index.m3u8?fmt=ts2hls

咪咕视频频道,#genre#
咪咕视频1,http://39.135.140.104:6610/PLTV/88888888/224/3221226240/1/index.m3u8?fmt=ts2hls
咪咕视频2,http://39.135.140.104:6610/PLTV/88888888/224/3221226238/1/index.m3u8?fmt=ts2hls
咪咕视频3,http://39.135.140.104:6610/PLTV/88888888/224/3221226235/1/index.m3u8?fmt=ts2hls
咪咕视频4,http://39.135.140.104:6610/PLTV/88888888/224/3221226241/1/index.m3u8?fmt=ts2hls

纪实频道,#genre#
北京纪实科教高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
纪实人文,http://39.135.140.104:6610/PLTV/88888888/224/3221225654/1/index.m3u8?fmt=ts2hls
纪实人文,http://39.135.140.104:6610/PLTV/88888888/224/3221225609/1/index.m3u8?fmt=ts2hls
纪实人文,http://39.135.140.104:6610/PLTV/88888888/224/3221225655/1/index.m3u8?fmt=ts2hls
北京纪实科教,http://39.135.140.104:6610/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
金鹰纪实高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225595/1/index.m3u8?fmt=ts2hls
金鹰纪实,http://39.135.140.104:6610/PLTV/88888888/224/3221226198/1/index.m3u8?fmt=ts2hls
新华全球连线,http://39.135.140.104:6610/PLTV/88888888/224/3221226298/1/index.m3u8?fmt=ts2hls

少儿频道,#genre#
梨园频道,http://39.135.140.104:6610/PLTV/88888888/224/3221225581/1/index.m3u8?fmt=ts2hls
金鹰卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225554/1/index.m3u8?fmt=ts2hls
炫动卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225560/1/index.m3u8?fmt=ts2hls
金鹰卡通高清,http://39.135.140.104:6610/PLTV/88888888/224/3221226246/1/index.m3u8?fmt=ts2hls
动画世界,http://39.135.140.104:6610/PLTV/88888888/224/3221226272/1/index.m3u8?fmt=ts2hls
嘉佳卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221226193/1/index.m3u8?fmt=ts2hls
精品萌宠,http://39.135.140.104:6610/PLTV/88888888/224/3221226245/1/index.m3u8?fmt=ts2hls
金鹰卡通高清,http://39.135.140.104:6610/PLTV/88888888/224/3221225721/1/index.m3u8?fmt=ts2hls
优漫卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225665/1/index.m3u8?fmt=ts2hls
黑莓动画,http://39.135.140.104:6610/PLTV/88888888/224/3221225672/1/index.m3u8?fmt=ts2hls3http://39.135.140.104:6610/PLTV/88888888/224/3221225672/1/index.m3u8?fmt=ts2hls
炫动卡通,http://39.135.140.104:6610/PLTV/88888888/224/3221225720/1/index.m3u8?fmt=ts2hls
畅享影院,http://39.135.140.104:6610/PLTV/88888888/224/3221226300/1/index.m3u8?fmt=ts2hls
北京少儿,http://39.135.140.104:6610/PLTV/88888888/224/3221225677/1/index.m3u8?fmt=ts2hls

购物频道,#genre#
优购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225970/1/index.m3u8?fmt=ts2hls
风尚购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225972/1/index.m3u8?fmt=ts2hls
快乐购物,http://39.135.140.104:6610/PLTV/88888888/224/3221226190/1/index.m3u8?fmt=ts2hls
优购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225712/1/index.m3u8?fmt=ts2hls
家有购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225975/1/index.m3u8?fmt=ts2hls
超级体育,http://39.135.140.104:6610/PLTV/88888888/224/3221225656/1/index.m3u8?fmt=ts2hls
怡伴健康,http://39.135.140.104:6610/PLTV/88888888/224/3221225666/1/index.m3u8?fmt=ts2hls
风尚购物,http://39.135.140.104:6610/PLTV/88888888/224/3221226239/1/index.m3u8?fmt=ts2hls
东北热剧,http://39.135.140.104:6610/PLTV/88888888/224/3221226202/1/index.m3u8?fmt=ts2hls
健康练习,http://39.135.140.104:6610/PLTV/88888888/224/3221226261/1/index.m3u8?fmt=ts2hls
体育,http://39.135.140.104:6610/PLTV/88888888/224/3221226243/1/index.m3u8?fmt=ts2hls
欢乐剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221226210/1/index.m3u8?fmt=ts2hls
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225623/1/index.m3u8?fmt=ts2hls
哒啵电竞,http://39.135.140.104:6610/PLTV/88888888/224/3221226265/1/index.m3u8?fmt=ts2hls
湖南茶频道,http://39.135.140.104:6610/PLTV/88888888/224/3221225781/1/index.m3u8?fmt=ts2hls
央广购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225974/1/index.m3u8?fmt=ts2hls
优购物,http://39.135.140.104:6610/PLTV/88888888/224/3221225660/1/index.m3u8?fmt=ts2hls

电影频道,#genre#
黑莓电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225764/1/index.m3u8?fmt=ts2hls#http://39.135.140.104:6610/PLTV/88888888/224/3221225769/1/index.m3u8?fmt=ts2hls
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225766/1/index.m3u8?fmt=ts2hls

剧场频道,#genre#
海外剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225716/1/index.m3u8?fmt=ts2hls
古装剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225678/1/index.m3u8?fmt=ts2hls
精品大剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225714/1/index.m3u8?fmt=ts2hls
品质大剧,http://39.135.140.104:6610/PLTV/88888888/224/3221226266/1/index.m3u8?fmt=ts2hls
军旅剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225669/1/index.m3u8?fmt=ts2hls
超级电视剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
追番必看,http://39.135.140.104:6610/PLTV/88888888/224/3221226269/1/index.m3u8?fmt=ts2hls
超级电视剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225625/1/index.m3u8?fmt=ts2hls
家庭剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225713/1/index.m3u8?fmt=ts2hls
综艺频道,#genre#
金牌综艺,http://39.135.140.104:6610/PLTV/88888888/224/3221225711/1/index.m3u8?fmt=ts2hls
超级综艺,http://39.135.140.104:6610/PLTV/88888888/224/3221225620/1/index.m3u8?fmt=ts2hls
超级综艺,http://39.135.140.104:6610/PLTV/88888888/224/3221225768/1/index.m3u8?fmt=ts2hls

港澳台,#genre#
凤凰中文,http://39.135.140.104:6610/PLTV/88888888/224/3221226248/1/index.m3u8?fmt=ts2hls
凤凰香港,http://39.135.140.104:6610/PLTV/88888888/224/3221226251/1/index.m3u8?fmt=ts2hls
凤凰资讯,http://39.135.140.104:6610/PLTV/88888888/224/3221226274/1/index.m3u8?fmt=ts2hls

其他频道,#genre#
潮妈辣婆,http://39.135.140.104:6610/PLTV/88888888/224/3221225708/1/index.m3u8?fmt=ts2hls
炫舞未来,http://39.135.140.104:6610/PLTV/88888888/224/3221225707/1/index.m3u8?fmt=ts2hls
武术世界,http://39.135.140.104:6610/PLTV/88888888/224/3221225508/1/index.m3u8?fmt=ts2hls
军事评论,http://39.135.140.104:6610/PLTV/88888888/224/3221225757/1/index.m3u8?fmt=ts2hls
精品体育,http://39.135.140.104:6610/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls
4K测试,http://39.135.140.104:6610/PLTV/88888888/224/3221225786/1/index.m3u8?fmt=ts2hls
新华社,http://39.135.140.104:6610/PLTV/88888888/224/3221226297/1/index.m3u8?fmt=ts2hls
农业致富,http://39.135.140.104:6610/PLTV/88888888/224/3221225670/1/index.m3u8?fmt=ts2hls
汽摩,http://39.135.140.104:6610/PLTV/88888888/224/3221225506/1/index.m3u8?fmt=ts2hls
哒啵赛事,http://39.135.140.104:6610/PLTV/88888888/224/3221225653/1/index.m3u8?fmt=ts2hls
